top - 13:03:35 up 37 min,  0 users,  load average: 0.59, 0.29, 0.14
Tasks: 184 total,   3 running, 181 sleeping,   0 stopped,   0 zombie
%Cpu(s): 47.7 us, 16.9 sy,  0.0 ni,  3.1 id,  0.0 wa,  0.0 hi, 32.3 si,  0.0 st
MiB Mem :  16009.2 total,  12638.0 free,    770.3 used,   2600.9 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14987.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  19429 root      20   0  716432  17752  10052 R 350.0   0.1   0:17.01 fortio
  18643 root      20   0  129628  32020  16992 S  12.5   0.2   0:03.02 pod_nan+
  19529 afarwick  20   0    5292   2676   2232 R   6.2   0.0   0:00.01 top
      1 root      20   0  162876   9992   6472 S   0.0   0.1   0:04.02 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 R   0.0   0.0   0:00.05 ksoftir+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.64 rcu_sch+
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.41 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
     19 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root      rt   0       0      0      0 S   0.0   0.0   0:00.41 migrati+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.41 migrati+
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.07 kcompac+
     40 root      39  19       0      0      0 S   0.0   0.0   0:00.01 khugepa+
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     64 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
     69 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     70 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfsalloc
     71 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs_mru+
     72 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     73 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
     74 root      20   0       0      0      0 S   0.0   0.0   0:00.00 hwrng
     75 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-re+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-de+
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 dm_bufi+
     83 root      20   0       0      0      0 I   0.0   0.0   0:00.49 kworker+
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
